Chr2	5369000	5370000	1842	AT2G48179
Chr2	5367000	5368000	1099	AT2G48179
Chr1	26473000	26474000	858	AT1G65350
Chr1	26474000	26475000	564	AT1G65350
Chr5	14924000	14925000	525	AT5G69566
Chr5	12053000	12054000	460	AT5G69499
Chr5	15051000	15052000	448	AT5G69571
Chr5	18591000	18592000	441	AT5G69776
Chr3	7809000	7810000	416	AT3G22125
Chr3	7809000	7810000	416	AT3G22142
Chr5	3258000	3259000	413	AT5G10340
Chr5	14738000	14739000	410	AT5G69554
Chr5	12597000	12598000	368	AT5G69526
Chr1	24042000	24043000	360	AT1G59359
Chr1	24042000	24043000	360	AT1G59406
Chr1	23969000	23970000	357	AT1G58684
Chr5	15050000	15051000	337	AT5G69571
Chr5	16414000	16415000	336	AT5G69690
Chr5	14887000	14888000	326	AT5G69554
Chr5	12598000	12599000	317	AT5G69526
Chr1	8823000	8824000	298	AT1G25025
Chr1	8784000	8785000	294	AT1G97850
Chr5	14888000	14889000	294	AT5G69554
Chr5	14923000	14924000	275	AT5G69566
